Id_oceny,Data,Id_ucznia,id_przedmiotu,Ocena
7190,2014-11-04,388/2012,27,5
12765,2014-12-16,387/2012,27,5
8034,2014-11-11,383/2012,27,5
7820,2014-11-10,375/2012,27,5
4116,2014-10-13,370/2012,27,5
8590,2014-11-14,353/2012,27,5
1119,2014-09-22,348/2012,27,5
242,2014-09-16,328/2012,27,5
1371,2014-09-23,321/2012,27,5
11459,2014-12-05,319/2012,27,5
1437,2014-09-23,299/2012,27,5
10821,2014-12-01,296/2012,27,5
12522,2014-12-12,287/2012,27,5
7613,2014-11-06,186/2011,27,5
933,2014-09-19,881/2014,27,4
6006,2014-10-27,876/2014,27,4
6462,2014-10-29,873/2014,27,4
9654,2014-11-21,861/2014,27,4
2039,2014-09-26,858/2014,27,4
5456,2014-10-22,858/2014,27,4
8236,2014-11-12,857/2014,27,4
8172,2014-11-11,855/2014,27,4
4871,2014-10-17,846/2014,27,4
7429,2014-11-06,846/2014,27,4
5113,2014-10-20,845/2014,27,4
6669,2014-10-31,843/2014,27,4
11872,2014-12-09,840/2014,27,4
197,2014-09-15,839/2014,27,4
3309,2014-10-07,839/2014,27,4
4897,2014-10-17,835/2014,27,4
12090,2014-12-10,830/2014,27,4
9548,2014-11-20,828/2014,27,4
1598,2014-09-24,825/2014,27,4
3707,2014-10-09,821/2014,27,4
7513,2014-11-06,820/2014,27,4
12248,2014-12-11,817/2014,27,4
13122,2014-12-18,809/2014,27,4
13030,2014-12-17,807/2014,27,4
5935,2014-10-27,805/2014,27,4
10020,2014-11-25,804/2014,27,4
3477,2014-10-08,802/2014,27,4
11860,2014-12-09,793/2014,27,4
2781,2014-10-02,790/2014,27,4
8798,2014-11-17,789/2014,27,4
3638,2014-10-08,786/2014,27,4
8020,2014-11-11,780/2014,27,4
101,2014-09-15,779/2014,27,4
1202,2014-09-23,773/2014,27,4
2617,2014-10-01,773/2014,27,4
138,2014-09-15,771/2014,27,4
7181,2014-11-04,771/2014,27,4
241,2014-09-16,770/2014,27,4
12533,2014-12-12,767/2014,27,4
4793,2014-10-17,755/2014,27,4
11895,2014-12-09,753/2014,27,4
10562,2014-11-28,751/2014,27,4
5121,2014-10-20,749/2014,27,4
7945,2014-11-10,749/2014,27,4
1150,2014-09-22,748/2014,27,4
8493,2014-11-13,743/2014,27,4
11036,2014-12-02,740/2014,27,4
4426,2014-10-15,734/2014,27,4
7032,2014-11-03,733/2014,27,4
11954,2014-12-09,733/2014,27,4
6937,2014-11-03,732/2014,27,4
12633,2014-12-15,730/2014,27,4
1500,2014-09-23,715/2014,27,4
6007,2014-10-27,715/2014,27,4
11789,2014-12-08,714/2014,27,4
3963,2014-10-10,707/2014,27,4
3530,2014-10-08,706/2014,27,4
6965,2014-11-03,705/2014,27,4
6028,2014-10-27,697/2013,27,4
9872,2014-11-24,697/2013,27,4
8932,2014-11-17,693/2013,27,4
9056,2014-11-18,687/2013,27,4
12919,2014-12-17,685/2013,27,4
6387,2014-10-29,683/2013,27,4
2346,2014-09-30,679/2013,27,4
9089,2014-11-18,679/2013,27,4
5756,2014-10-24,677/2013,27,4
11571,2014-12-05,677/2013,27,4
7925,2014-11-10,675/2013,27,4
7914,2014-11-10,673/2013,27,4
10968,2014-12-02,671/2013,27,4
9131,2014-11-18,669/2013,27,4
13003,2014-12-17,665/2013,27,4
3939,2014-10-10,663/2013,27,4
2559,2014-10-01,659/2013,27,4
2550,2014-10-01,657/2013,27,4
1362,2014-09-23,655/2013,27,4
1616,2014-09-24,653/2013,27,4
2312,2014-09-29,653/2013,27,4
9011,2014-11-18,649/2013,27,4
1394,2014-09-23,646/2013,27,4
7415,2014-11-05,641/2013,27,4
10983,2014-12-02,637/2013,27,4
12165,2014-12-10,635/2013,27,4
705,2014-09-18,633/2013,27,4
3954,2014-10-10,631/2013,27,4
4009,2014-10-10,626/2013,27,4
3283,2014-10-07,625/2013,27,4
12778,2014-12-16,621/2013,27,4
8725,2014-11-14,615/2013,27,4
5148,2014-10-20,613/2013,27,4
10592,2014-11-28,604/2013,27,4
3427,2014-10-07,603/2013,27,4
3574,2014-10-08,599/2013,27,4
9393,2014-11-20,597/2013,27,4
1847,2014-09-25,593/2013,27,4
3858,2014-10-10,591/2013,27,4
4899,2014-10-17,587/2013,27,4
8068,2014-11-11,581/2013,27,4
4781,2014-10-17,572/2013,27,4
4612,2014-10-16,569/2013,27,4
9500,2014-11-20,560/2013,27,4
5620,2014-10-23,559/2013,27,4
2004,2014-09-26,557/2013,27,4
4282,2014-10-14,555/2013,27,4
7193,2014-11-04,553/2013,27,4
4033,2014-10-13,547/2013,27,4
4263,2014-10-14,538/2013,27,4
1029,2014-09-22,537/2013,27,4
4126,2014-10-13,537/2013,27,4
9498,2014-11-20,533/2013,27,4
2092,2014-09-26,527/2013,27,4
3503,2014-10-08,517/2013,27,4
9446,2014-11-20,516/2013,27,4
7915,2014-11-10,515/2013,27,4
2159,2014-09-29,513/2012,27,4
5068,2014-10-20,491/2012,27,4
4563,2014-10-15,490/2012,27,4
2486,2014-09-30,488/2012,27,4
8919,2014-11-17,481/2012,27,4
2655,2014-10-01,473/2012,27,4
13001,2014-12-17,466/2012,27,4
4128,2014-10-13,453/2012,27,4
11075,2014-12-03,451/2012,27,4
2765,2014-10-02,444/2012,27,4
1246,2014-09-23,433/2012,27,4
509,2014-09-17,424/2012,27,4
7381,2014-11-05,422/2012,27,4
7102,2014-11-04,418/2012,27,4
1045,2014-09-22,397/2012,27,4
9101,2014-11-18,395/2012,27,4
354,2014-09-16,373/2012,27,4
8390,2014-11-13,369/2012,27,4
8029,2014-11-11,351/2012,27,4
1590,2014-09-24,347/2012,27,4
2180,2014-09-29,329/2012,27,4
9645,2014-11-21,318/2012,27,4
6788,2014-10-31,316/2012,27,4
8146,2014-11-11,297/2012,27,4
1162,2014-09-22,294/2012,27,4
227,2014-09-15,291/2012,27,4
10140,2014-11-26,273/2012,27,4
5461,2014-10-22,260/2011,27,4
3940,2014-10-10,224/2011,27,4
8866,2014-11-17,222/2011,27,4
11472,2014-12-05,205/2011,27,4
12749,2014-12-16,202/2011,27,4
12914,2014-12-17,195/2011,27,4
10010,2014-11-25,194/2011,27,4
2428,2014-09-30,191/2011,27,4
88,2014-09-15,188/2011,27,4
5856,2014-10-24,163/2011,27,4
4597,2014-10-16,155/2011,27,4
8695,2014-11-14,143/2011,27,4
7706,2014-11-07,137/2011,27,4
1228,2014-09-23,133/2011,27,4
408,2014-09-16,131/2011,27,4
7226,2014-11-04,128/2011,27,4
8138,2014-11-11,128/2011,27,4
10964,2014-12-02,127/2011,27,4
8757,2014-11-14,123/2011,27,4
9533,2014-11-20,883/2014,27,3
7548,2014-11-06,879/2014,27,3
11111,2014-12-03,870/2014,27,3
6532,2014-10-30,867/2014,27,3
3614,2014-10-08,866/2014,27,3
12810,2014-12-16,865/2014,27,3
5602,2014-10-23,861/2014,27,3
5153,2014-10-21,851/2014,27,3
9585,2014-11-21,829/2014,27,3
2515,2014-09-30,827/2014,27,3
2156,2014-09-29,823/2014,27,3
4444,2014-10-15,815/2014,27,3
10378,2014-11-27,814/2014,27,3
758,2014-09-18,811/2014,27,3
2399,2014-09-30,811/2014,27,3
655,2014-09-18,808/2014,27,3
8638,2014-11-14,805/2014,27,3
481,2014-09-17,799/2014,27,3
13158,2014-12-18,780/2014,27,3
9117,2014-11-18,771/2014,27,3
1270,2014-09-23,769/2014,27,3
10007,2014-11-25,762/2014,27,3
10324,2014-11-27,757/2014,27,3
9418,2014-11-20,756/2014,27,3
4658,2014-10-16,753/2014,27,3
5609,2014-10-23,733/2014,27,3
9037,2014-11-18,733/2014,27,3
10955,2014-12-02,733/2014,27,3
7386,2014-11-05,724/2014,27,3
9093,2014-11-18,724/2014,27,3
9740,2014-11-21,716/2014,27,3
12597,2014-12-15,711/2014,27,3
3597,2014-10-08,687/2013,27,3
5578,2014-10-23,681/2013,27,3
6878,2014-11-03,661/2013,27,3
6441,2014-10-29,657/2013,27,3
1971,2014-09-26,655/2013,27,3
7968,2014-11-10,648/2013,27,3
8237,2014-11-12,645/2013,27,3
10048,2014-11-25,643/2013,27,3
1136,2014-09-22,635/2013,27,3
9008,2014-11-18,627/2013,27,3
4157,2014-10-13,621/2013,27,3
2455,2014-09-30,619/2013,27,3
6330,2014-10-29,609/2013,27,3
12832,2014-12-16,609/2013,27,3
1101,2014-09-22,605/2013,27,3
6883,2014-11-03,595/2013,27,3
8131,2014-11-11,594/2013,27,3
3354,2014-10-07,589/2013,27,3
6529,2014-10-30,589/2013,27,3
3688,2014-10-09,582/2013,27,3
8952,2014-11-17,579/2013,27,3
9713,2014-11-21,577/2013,27,3
12098,2014-12-10,575/2013,27,3
2951,2014-10-03,567/2013,27,3
9551,2014-11-20,567/2013,27,3
3542,2014-10-08,565/2013,27,3
7027,2014-11-03,565/2013,27,3
12012,2014-12-10,563/2013,27,3
1518,2014-09-23,559/2013,27,3
723,2014-09-18,549/2013,27,3
6267,2014-10-28,545/2013,27,3
12786,2014-12-16,545/2013,27,3
182,2014-09-15,543/2013,27,3
8803,2014-11-17,541/2013,27,3
902,2014-09-19,529/2013,27,3
11042,2014-12-02,523/2013,27,3
859,2014-09-19,521/2013,27,3
11345,2014-12-04,512/2012,27,3
12945,2014-12-17,509/2012,27,3
13170,2014-12-18,501/2012,27,3
9156,2014-11-18,475/2012,27,3
8111,2014-11-11,471/2012,27,3
4938,2014-10-17,469/2012,27,3
2020,2014-09-26,453/2012,27,3
11404,2014-12-04,440/2012,27,3
4253,2014-10-14,439/2012,27,3
5028,2014-10-20,419/2012,27,3
8861,2014-11-17,417/2012,27,3
6094,2014-10-27,384/2012,27,3
3281,2014-10-07,371/2012,27,3
9256,2014-11-19,368/2012,27,3
7050,2014-11-04,362/2012,27,3
7524,2014-11-06,335/2012,27,3
4172,2014-10-13,269/2012,27,3
10778,2014-12-01,247/2011,27,3
11143,2014-12-03,246/2011,27,3
4474,2014-10-15,233/2011,27,3
1225,2014-09-23,232/2011,27,3
430,2014-09-17,231/2011,27,3
5442,2014-10-22,228/2011,27,3
4603,2014-10-16,219/2011,27,3
3936,2014-10-10,217/2011,27,3
12823,2014-12-16,212/2011,27,3
3892,2014-10-10,205/2011,27,3
6829,2014-10-31,202/2011,27,3
5902,2014-10-24,201/2011,27,3
13110,2014-12-18,199/2011,27,3
2994,2014-10-03,197/2011,27,3
1657,2014-09-24,182/2011,27,3
4562,2014-10-15,171/2011,27,3
3413,2014-10-07,168/2011,27,3
5818,2014-10-24,167/2011,27,3
2017,2014-09-26,165/2011,27,3
10653,2014-11-28,160/2011,27,3
2474,2014-09-30,153/2011,27,3
3981,2014-10-10,148/2011,27,3
2654,2014-10-01,144/2011,27,3
2226,2014-09-29,139/2011,27,3
9349,2014-11-19,139/2011,27,3
9146,2014-11-18,135/2011,27,3
12374,2014-12-11,130/2011,27,3
461,2014-09-17,129/2011,27,3
7124,2014-11-04,126/2011,27,3
12864,2014-12-16,123/2011,27,3
9756,2014-11-24,877/2014,27,2
5182,2014-10-21,868/2014,27,2
571,2014-09-17,864/2014,27,2
5819,2014-10-24,863/2014,27,2
4666,2014-10-16,852/2014,27,2
12688,2014-12-15,851/2014,27,2
5764,2014-10-24,847/2014,27,2
469,2014-09-17,833/2014,27,2
102,2014-09-15,818/2014,27,2
698,2014-09-18,811/2014,27,2
7221,2014-11-04,799/2014,27,2
10668,2014-11-28,798/2014,27,2
12484,2014-12-12,795/2014,27,2
3900,2014-10-10,791/2014,27,2
3175,2014-10-06,789/2014,27,2
7273,2014-11-05,789/2014,27,2
12837,2014-12-16,788/2014,27,2
7419,2014-11-05,787/2014,27,2
5782,2014-10-24,767/2014,27,2
11612,2014-12-05,763/2014,27,2
4411,2014-10-15,761/2014,27,2
6350,2014-10-29,761/2014,27,2
13027,2014-12-17,758/2014,27,2
12699,2014-12-15,751/2014,27,2
8046,2014-11-11,745/2014,27,2
5667,2014-10-23,742/2014,27,2
7388,2014-11-05,739/2014,27,2
7973,2014-11-10,739/2014,27,2
4356,2014-10-14,734/2014,27,2
6830,2014-10-31,723/2014,27,2
10109,2014-11-25,717/2014,27,2
877,2014-09-19,715/2014,27,2
1675,2014-09-24,705/2014,27,2
1087,2014-09-22,699/2013,27,2
6833,2014-10-31,699/2013,27,2
12612,2014-12-15,695/2013,27,2
6691,2014-10-31,692/2013,27,2
8361,2014-11-12,689/2013,27,2
12728,2014-12-16,675/2013,27,2
11931,2014-12-09,670/2013,27,2
13134,2014-12-18,667/2013,27,2
6927,2014-11-03,651/2013,27,2
2436,2014-09-30,647/2013,27,2
12622,2014-12-15,643/2013,27,2
9682,2014-11-21,639/2013,27,2
8598,2014-11-14,633/2013,27,2
10263,2014-11-26,631/2013,27,2
11400,2014-12-04,629/2013,27,2
12266,2014-12-11,617/2013,27,2
6923,2014-11-03,613/2013,27,2
5171,2014-10-21,611/2013,27,2
8404,2014-11-13,611/2013,27,2
12101,2014-12-10,607/2013,27,2
7441,2014-11-06,603/2013,27,2
12586,2014-12-15,601/2013,27,2
7623,2014-11-07,599/2013,27,2
8766,2014-11-14,587/2013,27,2
6413,2014-10-29,585/2013,27,2
7960,2014-11-10,583/2013,27,2
8466,2014-11-13,581/2013,27,2
9187,2014-11-19,577/2013,27,2
4404,2014-10-15,573/2013,27,2
11532,2014-12-05,571/2013,27,2
8243,2014-11-12,561/2013,27,2
12656,2014-12-15,555/2013,27,2
11346,2014-12-04,551/2013,27,2
9839,2014-11-24,550/2013,27,2
2273,2014-09-29,543/2013,27,2
695,2014-09-18,539/2013,27,2
5904,2014-10-24,535/2013,27,2
1795,2014-09-25,533/2013,27,2
12529,2014-12-12,531/2013,27,2
1461,2014-09-23,525/2013,27,2
924,2014-09-19,523/2013,27,2
11643,2014-12-08,521/2013,27,2
3585,2014-10-08,519/2013,27,2
12058,2014-12-10,515/2013,27,2
11641,2014-12-08,502/2012,27,2
11123,2014-12-03,463/2012,27,2
5561,2014-10-23,450/2012,27,2
10426,2014-11-27,446/2012,27,2
4878,2014-10-17,431/2012,27,2
8155,2014-11-11,411/2012,27,2
4102,2014-10-13,409/2012,27,2
11606,2014-12-05,395/2012,27,2
11636,2014-12-08,379/2012,27,2
11963,2014-12-09,357/2012,27,2
11654,2014-12-08,335/2012,27,2
5810,2014-10-24,331/2012,27,2
11087,2014-12-03,325/2012,27,2
9383,2014-11-20,309/2012,27,2
1511,2014-09-23,279/2012,27,2
3769,2014-10-09,277/2012,27,2
11845,2014-12-09,263/2011,27,2
1731,2014-09-24,262/2011,27,2
7339,2014-11-05,258/2011,27,2
6930,2014-11-03,246/2011,27,2
6083,2014-10-27,242/2011,27,2
7984,2014-11-10,239/2011,27,2
3130,2014-10-06,237/2011,27,2
4863,2014-10-17,229/2011,27,2
11160,2014-12-03,214/2011,27,2
2726,2014-10-02,208/2011,27,2
9285,2014-11-19,196/2011,27,2
3949,2014-10-10,173/2011,27,2
10764,2014-12-01,172/2011,27,2
4191,2014-10-13,160/2011,27,2
2547,2014-10-01,135/2011,27,2
9816,2014-11-24,873/2014,27,1
1364,2014-09-23,865/2014,27,1
7085,2014-11-04,708/2014,27,1
10953,2014-12-02,691/2013,27,1
3156,2014-10-06,665/2013,27,1
7708,2014-11-07,625/2013,27,1
5347,2014-10-22,623/2013,27,1
9736,2014-11-21,528/2013,27,1
5987,2014-10-27,349/2012,27,1
2357,2014-09-30,313/2012,27,1
12604,2014-12-15,300/2012,27,1
13139,2014-12-18,269/2012,27,1
4286,2014-10-14,246/2011,27,1
5099,2014-10-20,246/2011,27,1
8860,2014-11-17,211/2011,27,1
6121,2014-10-28,201/2011,27,1
1085,2014-09-22,189/2011,27,1
8683,2014-11-14,176/2011,27,1
5372,2014-10-22,170/2011,27,1
2715,2014-10-02,505/2012,26,6
941,2014-09-19,503/2012,26,6
965,2014-09-19,495/2012,26,6
5479,2014-10-22,449/2012,26,6
10585,2014-11-28,443/2012,26,6
4540,2014-10-15,433/2012,26,6
4317,2014-10-14,419/2012,26,6
5566,2014-10-23,389/2012,26,6
1857,2014-09-25,375/2012,26,6
9237,2014-11-19,355/2012,26,6
2238,2014-09-29,343/2012,26,6
12042,2014-12-10,323/2012,26,6
2570,2014-10-01,671/2013,26,5
9471,2014-11-20,648/2013,26,5
8228,2014-11-12,564/2013,26,5
3803,2014-10-09,514/2012,26,5
8032,2014-11-11,499/2012,26,5
6534,2014-10-30,492/2012,26,5
9287,2014-11-19,477/2012,26,5
12947,2014-12-17,475/2012,26,5
12645,2014-12-15,442/2012,26,5
8764,2014-11-14,441/2012,26,5
2946,2014-10-03,435/2012,26,5
2219,2014-09-29,433/2012,26,5
5106,2014-10-20,421/2012,26,5
9320,2014-11-19,420/2012,26,5
3639,2014-10-08,411/2012,26,5
1331,2014-09-23,399/2012,26,5
11370,2014-12-04,392/2012,26,5
7651,2014-11-07,386/2012,26,5
1011,2014-09-22,372/2012,26,5
1801,2014-09-25,370/2012,26,5
7760,2014-11-07,324/2012,26,5
1526,2014-09-23,301/2012,26,5
7677,2014-11-07,277/2012,26,5
5662,2014-10-23,700/2013,26,4
10465,2014-11-27,698/2013,26,4
4347,2014-10-14,692/2013,26,4
9181,2014-11-19,690/2013,26,4
838,2014-09-19,683/2013,26,4
3488,2014-10-08,672/2013,26,4
8800,2014-11-17,670/2013,26,4
7449,2014-11-06,664/2013,26,4
57,2014-09-15,660/2013,26,4
11287,2014-12-04,660/2013,26,4
12234,2014-12-11,658/2013,26,4
8822,2014-11-17,656/2013,26,4
635,2014-09-18,652/2013,26,4
2111,2014-09-26,642/2013,26,4
9458,2014-11-20,640/2013,26,4
2967,2014-10-03,638/2013,26,4
12118,2014-12-10,636/2013,26,4
3317,2014-10-07,634/2013,26,4
7838,2014-11-10,629/2013,26,4
4207,2014-10-13,626/2013,26,4
13124,2014-12-18,622/2013,26,4
11192,2014-12-03,620/2013,26,4
12421,2014-12-12,616/2013,26,4
12672,2014-12-15,614/2013,26,4
7326,2014-11-05,606/2013,26,4
2847,2014-10-02,590/2013,26,4
8676,2014-11-14,578/2013,26,4
8884,2014-11-17,575/2013,26,4
12515,2014-12-12,572/2013,26,4
5589,2014-10-23,570/2013,26,4
8418,2014-11-13,568/2013,26,4
11292,2014-12-04,563/2013,26,4
5765,2014-10-24,562/2013,26,4
3716,2014-10-09,560/2013,26,4
298,2014-09-16,558/2013,26,4
3984,2014-10-10,558/2013,26,4
9881,2014-11-24,550/2013,26,4
1650,2014-09-24,546/2013,26,4
412,2014-09-16,540/2013,26,4
7237,2014-11-05,540/2013,26,4
12400,2014-12-12,530/2013,26,4
5579,2014-10-23,526/2013,26,4
9907,2014-11-24,526/2013,26,4
2613,2014-10-01,524/2013,26,4
1184,2014-09-23,519/2013,26,4
5848,2014-10-24,518/2013,26,4
2247,2014-09-29,495/2012,26,4
6762,2014-10-31,493/2012,26,4
7184,2014-11-04,483/2012,26,4
12283,2014-12-11,473/2012,26,4
4972,2014-10-20,471/2012,26,4
45,2014-09-15,465/2012,26,4
5485,2014-10-22,461/2012,26,4
12230,2014-12-11,453/2012,26,4
1924,2014-09-25,451/2012,26,4
8106,2014-11-11,446/2012,26,4
5222,2014-10-21,430/2012,26,4
11556,2014-12-05,429/2012,26,4
4775,2014-10-16,397/2012,26,4
7412,2014-11-05,390/2012,26,4
12191,2014-12-10,377/2012,26,4
369,2014-09-16,371/2012,26,4
2439,2014-09-30,364/2012,26,4
10333,2014-11-27,359/2012,26,4
9874,2014-11-24,337/2012,26,4
9542,2014-11-20,333/2012,26,4
9107,2014-11-18,318/2012,26,4
11358,2014-12-04,315/2012,26,4
8190,2014-11-12,308/2012,26,4
10579,2014-11-28,279/2012,26,4
2721,2014-10-02,271/2012,26,4
371,2014-09-16,700/2013,26,3
6582,2014-10-30,693/2013,26,3
2816,2014-10-02,690/2013,26,3
11350,2014-12-04,684/2013,26,3
7112,2014-11-04,682/2013,26,3
7590,2014-11-06,682/2013,26,3
12081,2014-12-10,680/2013,26,3
1955,2014-09-25,678/2013,26,3
11007,2014-12-02,676/2013,26,3
6409,2014-10-29,673/2013,26,3
10716,2014-12-01,668/2013,26,3
6069,2014-10-27,666/2013,26,3
12124,2014-12-10,662/2013,26,3
8479,2014-11-13,658/2013,26,3
4233,2014-10-14,656/2013,26,3
257,2014-09-16,651/2013,26,3
6255,2014-10-28,639/2013,26,3
10707,2014-12-01,638/2013,26,3
3318,2014-10-07,636/2013,26,3
2975,2014-10-03,628/2013,26,3
1151,2014-09-22,624/2013,26,3
2642,2014-10-01,624/2013,26,3
12692,2014-12-15,614/2013,26,3
4662,2014-10-16,612/2013,26,3
12959,2014-12-17,612/2013,26,3
11888,2014-12-09,607/2013,26,3
3584,2014-10-08,602/2013,26,3
11693,2014-12-08,602/2013,26,3
13022,2014-12-17,596/2013,26,3
11299,2014-12-04,594/2013,26,3
674,2014-09-18,592/2013,26,3
4264,2014-10-14,592/2013,26,3
3094,2014-10-06,586/2013,26,3
4915,2014-10-17,584/2013,26,3
7553,2014-11-06,584/2013,26,3
12476,2014-12-12,582/2013,26,3
3829,2014-10-09,580/2013,26,3
491,2014-09-17,574/2013,26,3
1638,2014-09-24,570/2013,26,3
171,2014-09-15,548/2013,26,3
7565,2014-11-06,546/2013,26,3
7463,2014-11-06,542/2013,26,3
282,2014-09-16,536/2013,26,3
5395,2014-10-22,536/2013,26,3
2135,2014-09-26,534/2013,26,3
6149,2014-10-28,522/2013,26,3
8179,2014-11-11,516/2013,26,3
2362,2014-09-30,504/2012,26,3
7717,2014-11-07,490/2012,26,3
11979,2014-12-09,486/2012,26,3
7996,2014-11-11,482/2012,26,3
7550,2014-11-06,478/2012,26,3
8266,2014-11-12,473/2012,26,3
3235,2014-10-06,455/2012,26,3
5912,2014-10-27,455/2012,26,3
8523,2014-11-13,451/2012,26,3
7113,2014-11-04,424/2012,26,3
10029,2014-11-25,411/2012,26,3
12924,2014-12-17,403/2012,26,3
4823,2014-10-17,397/2012,26,3
5272,2014-10-21,393/2012,26,3
3282,2014-10-07,385/2012,26,3
10025,2014-11-25,373/2012,26,3
11743,2014-12-08,351/2012,26,3
8539,2014-11-13,350/2012,26,3
6868,2014-11-03,330/2012,26,3
504,2014-09-17,311/2012,26,3
420,2014-09-17,302/2012,26,3
2591,2014-10-01,299/2012,26,3
1718,2014-09-24,296/2012,26,3
894,2014-09-19,281/2012,26,3
6080,2014-10-27,271/2012,26,3
3097,2014-10-06,698/2013,26,2
12771,2014-12-16,696/2013,26,2
3251,2014-10-06,695/2013,26,2
8227,2014-11-12,694/2013,26,2
3519,2014-10-08,688/2013,26,2
6157,2014-10-28,686/2013,26,2
2323,2014-09-29,680/2013,26,2
6464,2014-10-29,674/2013,26,2
7375,2014-11-05,668/2013,26,2
6747,2014-10-31,654/2013,26,2
8017,2014-11-11,650/2013,26,2
1400,2014-09-23,649/2013,26,2
2036,2014-09-26,646/2013,26,2
12904,2014-12-17,646/2013,26,2
6710,2014-10-31,644/2013,26,2
4144,2014-10-13,634/2013,26,2
1826,2014-09-25,632/2013,26,2
10646,2014-11-28,628/2013,26,2
