Nr_ucz.	Dzien	Miesiac	Rok	M_urodzenia	Wojewodztwo
9928	19	12	84	Gdańsku	pomorskie
9929	17	1	84	Gdańsku	pomorskie
9930	30	5	84	Gdańsku	pomorskie
9932	27	9	84	Gdańsku	pomorskie
9934	24	2	84	Gdańsku	pomorskie
9937	15	7	84	Gdańsku	pomorskie
9940	10	2	84	Gdańsku	pomorskie
9941	21	1	84	Gdańsku	pomorskie
9943	6	2	84	Gdańsku	pomorskie
9945	6	8	84	Gdańsku	pomorskie
9956	23	4	84	Gdańsku	pomorskie
9958	12	3	84	Gdańsku	pomorskie
9961	18	1	84	Gdańsku	pomorskie
9962	5	1	84	Sokółce	podlaskie
9963	15	1	85	Gdańsku	pomorskie
9966	14	11	84	Gdańsku	pomorskie
9967	4	11	84	Gdańsku	pomorskie
9974	29	8	84	Gdańsku	pomorskie
9982	12	9	84	Gdańsku	pomorskie
9984	17	2	84	Gdańsku	pomorskie
9985	13	11	84	Gdańsku	pomorskie
9987	7	11	84	Gdańsku	pomorskie
9988	1	10	84	Gdańsku	pomorskie
9988	29	6	84	Gdańsku	pomorskie
9989	13	6	84	Gdańsku	pomorskie
9990	6	2	84	Gdańsku	pomorskie
9991	3	6	84	Gdańsku	pomorskie
9998	28	11	84	Gdańsku	pomorskie
10000	4	3	84	Gdańsku	pomorskie
10002	7	5	84	Gdańsku	pomorskie
10003	6	5	84	Gdańsku	pomorskie
10006	19	7	84	Gdańsku	pomorskie
10007	18	9	84	Gdańsku	pomorskie
10013	15	6	84	Łapach	podlaskie
10015	25	1	84	Gdańsku	pomorskie
10016	28	8	84	Gdańsku	pomorskie
10017	11	5	84	Sopocie	pomorskie
10018	24	11	84	Gdańsku	pomorskie
10019	25	7	84	Gdańsku	pomorskie
10020	11	10	84	Gdańsku	pomorskie
10021	3	1	84	Gdańsku	pomorskie
10022	5	1	84	Bielsku Podlaskim	podlaskie
10024	5	7	84	Gdańsku	pomorskie
10025	4	6	84	Gdańsku	pomorskie
10026	10	4	84	Gdańsku	pomorskie
10029	9	4	84	Gdańsku	pomorskie
10032	7	12	84	Gdańsku	pomorskie
10035	15	1	84	Gdańsku	pomorskie
10037	11	7	84	Gdańsku	pomorskie
10043	29	10	84	Gdańsku	pomorskie
10044	21	7	84	Gdańsku	pomorskie
10045	1	2	84	Gdańsku	pomorskie
10047	13	2	84	Gdańsku	pomorskie
10050	2	8	84	Gdańsku	pomorskie
10053	29	3	84	Gdańsku	pomorskie
10054	15	9	84	Gdańsku	pomorskie
10057	1	6	84	Gdańsku	pomorskie
10060	30	8	84	Gdańsku	pomorskie
10061	13	7	84	Gdańsku	pomorskie
10064	10	5	84	Mońkach	podlaskie
10067	3	3	84	Gdańsku	pomorskie
10068	11	5	84	Sokółce	poglaskie
10074	17	10	84	Gdańsku	pomorskie
10076	8	3	84	Gdańsku	pomorskie
10077	17	5	84	Gdańsku	pomorskie
10080	9	3	84	Gdańsku	pomorskie
10081	22	4	84	Gdańsku	pomorskie
10082	22	8	84	Warszawie	mazowieckie
10085	11	5	84	Gdańsku	pomorskie
10088	7	9	84	Kielcach	świętokrzyskie
10089	6	6	84	Gdańsku	pomorskie
10093	1	11	84	Gdańsku	pomorskie
10094	12	10	84	Gdańsku	pomorskie
10096	12	8	84	Gdańsku	pomorskie
10097	29	4	84	Gdańsku	pomorskie
10099	19	11	84	Gdańsku	pomorskie
10103	21	11	84	Gdańsku	pomorskie
10105	7	4	84	Gdańsku	pomorskie
10106	3	1	85	Gdańsku	pomorskie
10109	10	11	84	Gdańsku	pomorskie
10110	7	11	84	Gdańsku	pomorskie
10112	30	12	84	Gdańsku	pomorskie
10114	15	11	84	Gdańsku	pomorskie
10115	23	8	84	Gdańsku	pomorskie
10116	5	1	84	Gdańsku	pomorskie
10117	30	8	84	Gdańsku	pomorskie
10118	7	1	84	Gdańsku	pomorskie
10119	26	5	84	Gdańsku	pomorskie
10120	9	3	84	Mońkach	podlaskie
10132	20	9	84	Gdańsku	pomorskie
10133	12	5	84	Gdańsku	pomorskie
10140	16	3	84	Gdańsku	pomorskie
10142	8	6	84	Gdańsku	pomorskie
10238	7	10	84	Gdańsku	pomorskie
